Genome,IMG Genome ID,NCBI project ID,# protein encoding genes,pfam00072,pfam00204,pfam02518,# his kin (incl. hybrids),# his kin per 100 genes,# hybrid proteins,# his kin (hybrids removed),# resp. reg (hybrids removed),rr:hk ratio,org_type,unit_norm_hkct,unit_norm_genect
Alcanivorax sp. DG881,647533109,19279,3384,45,2,32,30,0.886524823,13,17,30,1.764705882,,1.107505071,0.963858137
Candidatus Pelagibacter ubique SAR11 HTCC1002,637000058,13989,1428,4,1,5,4,0.280112045,0,4,3,0.75,o,0.147667343,0.406734462
Candidatus Pelagibacter ubique SAR11 HTCC1062,2501651209,19299,1394,5,1,6,5,0.358680057,0,5,4,0.8,o,0.184584178,0.397050308
Crocosphaera watsonii WH 0003,2636415574,,5774,65,1,39,38,0.658122619,18,20,46,2.3,o,1.402839757,1.644597187
Crocosphaera watsonii WH 0003 ((899 contigs)),2503283007,,6625,65,1,39,38,0.573584906,18,20,46,2.3,o,1.402839757,1.886985862
Crocosphaera watsonii WH 0005,2627853717,,5231,69,1,43,42,0.802905754,19,23,49,2.130434783,o,1.550507099,1.489935554
Crocosphaera watsonii WH 0401 (draft1),638341074,10651,2349,57,1,34,33,1.404853129,14,19,42,2.210526316,o,1.218255578,0.6690611
Crocosphaera watsonii WH 0402,2503283009,,6001,26,1,17,16,0.26662223,5,11,20,1.818181818,o,0.590669371,1.709253156
Crocosphaera watsonii WH 8501,2639763078,,6715,52,1,35,34,0.506329114,29,5,22,4.4,o,1.255172414,1.912620387
Crocosphaera watsonii WH 8502,647533126,19301,5315,53,1,29,28,0.526810913,12,16,40,2.5,o,1.0336714,1.51386111
Prochlorococcus marinus EQPAC1,637000213,419,1933,6,1,5,4,0.20693223,0,4,5,1.25,o,0.147667343,0.55057263
Prochlorococcus marinus marinus CCMP1375,637000210,13910,2334,6,1,5,4,0.171379606,0,4,5,1.25,o,0.147667343,0.664788679
Prochlorococcus marinus MIT9313,637000211,220,2197,9,1,7,6,0.273099681,0,6,8,1.333333333,o,0.221501014,0.625767236
Prochlorococcus marinus PAC1,2606217419,,2069,5,1,4,3,0.144997583,0,3,4,1.333333333,o,0.110750507,0.589309245
Prochlorococcus marinus pastoris CCMP 1986,637000214,213,1872,6,1,5,4,0.213675214,0,4,5,1.25,o,0.147667343,0.533198118
Prochlorococcus sp. AS9601,640069321,13548,1946,5,1,4,3,0.154162384,0,3,4,1.333333333,o,0.110750507,0.554275394
Prochlorococcus sp. GP2,2606217606,,1905,5,1,4,3,0.157480315,0,3,4,1.333333333,o,0.110750507,0.542597444
Prochlorococcus sp. LG,2606217685,,1956,6,1,5,4,0.204498978,0,4,5,1.25,o,0.147667343,0.557123675
Prochlorococcus sp. MIT0601,2606217319,,1954,6,1,5,4,0.204708291,0,4,5,1.25,o,0.147667343,0.556554019
Prochlorococcus sp. MIT0602,2606217317,,2089,6,1,5,4,0.191479177,0,4,5,1.25,o,0.147667343,0.595005806
Prochlorococcus sp. MIT0603,2606217686,,2704,6,1,5,4,0.147928994,0,4,5,1.25,o,0.147667343,0.77017506
Prochlorococcus sp. MIT0604,2606217688,,2706,5,1,4,3,0.110864745,0,3,4,1.333333333,o,0.110750507,0.770744716
Prochlorococcus sp. MIT0701,2606217684,,2694,10,1,7,6,0.222717149,0,6,9,1.5,o,0.221501014,0.767326779
